"","id","price","mq","floor","n_rooms","n_bathrooms","has_terrace","has_alarm","heating","has_air_conditioning","has_parking","is_furnished"
"174",174,80000,89,1,3,1,0,0,"autonomous",0,0,0
"387",387,80000,130,2,5,1,1,0,"autonomous",0,0,0
"594",594,165000,130,1,5,2,0,0,"autonomous",0,0,0
"809",809,20000,45,3,2,1,0,0,"autonomous",0,0,0
"1087",1087,170000,140,1,4,2,0,0,"autonomous",1,0,0
"1260",1260,59000,60,1,2,1,1,0,"autonomous",0,0,0
"1556",1556,85000,100,2,2,1,0,0,"autonomous",1,0,1
"1871",1871,130000,125,1,4,2,0,0,"autonomous",0,0,0
"2143",2143,149000,200,1,5,2,0,0,"autonomous",0,0,0
"2388",2388,55000,60,3,3,1,0,0,"autonomous",0,0,0
"2666",2666,150000,110,1,3,1,1,0,"autonomous",1,0,0
"2869",2869,205000,150,4,5,2,0,0,"autonomous",0,0,0
"3136",3136,80000,128,1,5,2,0,0,"autonomous",0,0,0
"3286",3286,95000,112,3,3,2,0,0,"autonomous",0,0,0
"3496",3496,1e+05,98,3,3,2,0,0,"autonomous",0,0,0
"3702",3702,160000,127,1,4,2,1,0,"autonomous",0,0,0
"3898",3898,230000,127,1,4,2,0,0,"autonomous",0,0,0
"4090",4090,60000,70,2,4,1,0,0,"autonomous",1,0,0
"4315",4315,155000,126,3,4,2,1,0,"autonomous",0,0,0
"4530",4530,83000,108,1,5,1,0,0,"autonomous",1,0,0
"4763",4763,150000,130,3,4,2,0,0,"autonomous",0,0,0
"4959",4959,115000,75,6,2,1,0,0,"autonomous",1,0,0
"5179",5179,188000,130,4,4,2,0,0,"autonomous",1,0,1
"5349",5349,50000,65,2,3,1,0,0,"autonomous",0,0,1
"5513",5513,150000,115,1,4,2,0,0,"autonomous",1,0,0
"5766",5766,74000,114,2,3,1,0,0,"autonomous",0,0,1
"6052",6052,105000,100,2,3,1,0,0,"autonomous",0,0,0
"6310",6310,170000,150,1,5,2,0,0,"autonomous",0,0,0
"6548",6548,60000,130,2,5,1,1,0,"autonomous",1,0,1
"6770",6770,80000,78,3,4,1,1,0,"autonomous",1,0,0
"7017",7017,45000,38,1,2,1,0,0,"autonomous",1,0,0
"7267",7267,129000,95,1,3,1,0,0,"autonomous",0,0,0
"7459",7459,20000,70,2,3,1,1,0,"autonomous",1,0,0
"7708",7708,18000,48,2,2,1,0,0,"autonomous",0,0,0
"7969",7969,55000,28,1,3,1,0,0,"autonomous",0,0,0
"8196",8196,40000,45,2,2,1,0,0,"autonomous",0,0,0
"8436",8436,250000,185,1,5,3,0,0,"autonomous",1,0,1
"8587",8587,80000,100,2,4,2,0,0,"autonomous",0,0,1
"8757",8757,18000,25,5,3,1,0,0,"autonomous",0,0,0
"8987",8987,150000,146,2,4,2,0,0,"autonomous",0,0,0
"9193",9193,95000,100,1,3,2,0,0,"autonomous",0,0,0
"9405",9405,116000,78,2,3,1,1,0,"autonomous",0,0,0
"9617",9617,197000,320,1,5,2,0,0,"autonomous",0,0,1
"9816",9816,70000,210,1,3,1,1,0,"autonomous",1,0,0
"10090",10090,62000,65,1,4,2,1,0,"autonomous",0,0,0
"10352",10352,62000,188,1,5,1,1,0,"autonomous",1,0,0
"10579",10579,120000,120,3,3,1,0,0,"autonomous",0,0,0
